reflectance_365nm_percent,reflectance_405nm_percent,reflectance_430nm_percent,reflectance_450nm_percent,reflectance_470nm_percent,reflectance_490nm_percent,reflectance_515nm_percent,reflectance_540nm_percent,reflectance_570nm_percent,reflectance_590nm_percent,reflectance_630nm_percent,reflectance_645nm_percent,reflectance_660nm_percent,reflectance_690nm_percent,reflectance_780nm_percent,reflectance_850nm_percent,reflectance_880nm_percent,reflectance_940nm_percent,reflectance_970nm_percent,class,sample_id
63.52958,52.153515,47.81445,53.778053,61.109543,62.214886,56.58138,53.17084,52.6891,64.72,74.95836,76.58034,64.15036,54.785557,58.000366,57.36872,61.05,60.19158,55.707542,0,0.0
56.02594,46.59656,50.26834,59.764236,67.44792,75.27691,75.66587,70.885376,72.95134,77.23861,84.5425,85.69756,69.8876,69.092,66.51662,66.96044,71.2256,63.485863,59.129448,0,1.0
54.78714,44.91219,46.841152,55.661438,65.29425,72.516396,68.28249,68.1963,65.33525,70.99868,78.93364,80.7108,68.729294,64.698395,69.80355,71.51833,72.37774,65.92032,69.372925,0,2.0
57.68338,48.756958,50.06978,57.316555,65.64512,70.92455,69.87622,62.603485,68.90805,72.93028,80.031296,81.149956,72.39693,68.25203,67.43186,67.11092,68.67909,64.44474,62.781162,0,3.0
81.22367,70.61147,65.48928,66.11512,69.943985,72.03208,65.69307,62.60708,60.15782,69.967514,79.005066,80.63538,67.63941,65.06573,65.64064,63.943504,66.60895,63.806564,61.8856,0,4.0
56.18856,47.24527,50.0622,59.227962,68.84781,70.61564,67.307465,68.442825,64.831696,72.44946,80.51581,81.791016,59.647106,63.03835,62.738884,63.362373,69.53756,64.1649,61.342194,0,5.0
62.290146,53.511227,55.375816,63.674004,70.978,72.240616,64.32212,61.308376,60.031708,69.85401,77.696754,79.29044,64.56725,63.115227,65.15926,63.54748,65.37698,65.72313,62.64848,0,6.0
58.31264,48.449123,46.460213,53.601974,60.26417,62.56039,52.987854,46.95822,47.96146,63.08232,73.97164,75.579956,58.005203,53.372063,57.18759,55.730034,59.9443,57.208317,50.297676,0,7.0
57.2827,45.504528,48.322052,59.955643,66.83198,75.55143,70.12176,66.84673,64.05381,72.17712,80.82534,82.551704,60.43067,63.237034,61.97208,61.887455,66.6568,60.435425,56.323887,0,8.0
57.977654,49.55374,49.963085,56.159157,65.17386,62.75302,56.5857,53.720856,53.805035,65.5266,75.95353,77.93728,56.600136,53.326797,57.088345,57.808304,63.450367,59.93802,55.920555,0,9.0
51.145382,41.18899,44.69945,55.267727,65.75074,79.82938,73.77741,73.81934,67.35027,68.74477,78.36538,80.05874,55.209095,59.540073,58.13575,58.19039,64.579124,55.002857,51.312046,0,10.0
